#timestamp x y z qx qy qz qw
280.266681 -1.115618 3.364652 12.926667 0.000258 0.962800 -0.242454 -0.119297
281.283348 -1.357550 3.120002 11.961197 0.000550 0.962803 -0.243433 -0.117261
282.283348 -1.590340 2.881159 11.013170 0.001013 0.962747 -0.244819 -0.114803
283.300015 -1.822070 2.632003 10.047988 0.001177 0.962716 -0.245787 -0.112980
284.300015 -2.048525 2.387480 9.102507 0.001523 0.962696 -0.246589 -0.111390
285.316682 -2.274593 2.118463 8.126805 0.002087 0.959406 -0.246403 -0.137191
286.333348 -2.850029 1.918321 7.308538 0.003245 0.916434 -0.236258 -0.322988
287.350015 -3.110209 1.644830 6.365461 0.001646 0.967208 -0.250619 -0.041185
288.350015 -3.204829 1.381001 5.397449 0.001268 0.967124 -0.251140 -0.039994
289.350015 -3.084008 1.100778 4.426826 -0.001397 0.924864 -0.241135 0.294071
290.366682 -2.165579 0.994865 3.986742 -0.004806 0.765585 -0.199667 0.611547
291.366682 -1.193242 0.930453 3.747336 -0.005014 0.764482 -0.198926 0.613165
292.366682 -0.211663 0.872085 3.549138 -0.005932 0.702376 -0.183040 0.687844
293.383349 0.559142 1.018781 4.027481 -0.010959 0.239449 -0.064873 0.968677
294.400015 0.891524 1.276482 4.970247 -0.011910 0.154197 -0.041527 0.987095
295.400015 1.205048 1.532175 5.893830 -0.011816 0.152895 -0.040698 0.987333
296.400015 1.518687 1.784262 6.818362 -0.011824 0.151487 -0.039661 0.987592
297.416682 1.837403 2.046808 7.763102 -0.011473 0.150062 -0.039221 0.987832
298.433349 2.152008 2.305990 8.706949 -0.011368 0.148794 -0.038602 0.988049
299.433349 2.457530 2.563641 9.633450 -0.010906 0.147825 -0.038419 0.988207
300.433349 2.764422 2.814580 10.558851 -0.010833 0.146342 -0.037882 0.988449
301.450016 3.070689 3.073299 11.501677 -0.010585 0.145386 -0.037635 0.988602
302.500016 3.379377 3.340890 12.474535 -0.010333 0.144545 -0.037174 0.988746
303.500016 3.673217 3.594024 13.402335 -0.010032 0.143806 -0.036543 0.988880
304.500016 3.966258 3.848412 14.328565 -0.009759 0.143109 -0.036385 0.988990
305.500016 4.256569 4.096265 15.254737 -0.009983 0.142487 -0.035757 0.989100
306.516683 4.548832 4.349645 16.196850 -0.010093 0.142065 -0.035432 0.989172
307.533349 4.847554 4.602214 17.140991 -0.010388 0.141364 -0.034866 0.989289
308.533349 5.138869 4.848594 18.072618 -0.010601 0.140443 -0.033990 0.989448
309.533349 5.425188 5.078076 19.002779 -0.012021 0.139625 -0.033412 0.989568
310.533350 5.735240 5.247906 19.923704 -0.017988 0.136564 -0.031928 0.989953
311.550016 6.153066 5.539066 20.796354 -0.014668 0.388340 -0.098735 0.916094
312.566683 7.155096 5.599451 20.986958 -0.013358 0.631871 -0.165350 0.757113
313.583350 8.132764 5.689121 21.287468 -0.013376 0.671958 -0.175510 0.719368
314.583350 9.007173 5.574309 20.844641 -0.010288 0.848648 -0.223865 0.479140
315.600016 9.851902 5.439482 20.340601 -0.007962 0.926344 -0.243956 0.286894
316.600017 9.933053 5.178076 19.400665 -0.004139 0.966005 -0.255061 -0.041964
317.600017 9.408674 4.953862 18.606785 0.000252 0.893060 -0.237198 -0.382336
318.616683 8.675002 4.760926 17.938211 -0.001072 0.932640 -0.247302 -0.262723
319.616683 8.304478 4.513316 17.044004 -0.001862 0.941148 -0.247999 -0.229636
320.633350 7.991589 4.257733 16.111822 -0.002586 0.956311 -0.250689 -0.150393
321.633350 7.691619 4.002408 15.183167 -0.002334 0.956551 -0.249752 -0.150428
322.633350 7.394423 3.749748 14.260496 -0.002396 0.956816 -0.248445 -0.150903
323.633350 7.094957 3.500714 13.334891 -0.002501 0.956967 -0.247873 -0.150889
324.650017 6.918139 3.243009 12.370250 -0.003392 0.967407 -0.249575 -0.042719
325.666684 7.027246 2.983184 11.388964 -0.004085 0.966323 -0.248258 0.067603
326.683350 7.163655 2.727917 10.411953 -0.004102 0.966503 -0.247654 0.067248
327.700017 7.114707 2.477092 9.456377 -0.002528 0.942255 -0.242016 -0.231468
328.716684 6.829806 2.231472 8.522275 -0.003283 0.963452 -0.246319 -0.105241
329.716684 6.586474 1.989526 7.595068 -0.004061 0.968934 -0.246657 0.017640
330.733351 6.434914 1.733948 6.614561 -0.004029 0.969163 -0.246377 -0.002202
331.766684 6.279634 1.468571 5.630176 -0.004355 0.968630 -0.245540 0.038042
332.783351 6.285492 1.221903 4.656947 -0.004355 0.967484 -0.244747 0.063685
333.800017 6.264422 0.944603 3.691656 -0.005056 0.969535 -0.244694 -0.010060
334.800017 6.061231 0.691813 2.730610 -0.005093 0.964928 -0.243880 -0.097008
335.816684 5.890085 0.444944 1.752309 -0.005175 0.969506 -0.244999 -0.002705
336.833351 6.310183 0.240108 0.910238 -0.006250 0.839862 -0.208834 0.500981
337.833351 6.887559 0.036836 0.112716 -0.006037 0.969648 -0.244313 0.007604
338.833351 6.340050 -0.131461 -0.767300 0.004069 -0.823921 0.212513 0.525335
339.850018 5.312876 -0.090271 -0.813928 0.000696 -0.678054 0.177820 0.713178
340.850018 4.462136 -0.216893 -1.241382 -0.007530 0.923779 -0.234962 -0.302272
341.866684 4.528795 -0.379295 -2.275251 -0.008909 0.937736 -0.234470 0.256115
342.866685 5.330726 -0.599172 -2.706359 -0.009418 0.664856 -0.155940 0.730452
343.883351 6.303611 -0.489137 -2.356039 -0.005638 0.425681 -0.092901 0.900074
344.900018 7.052812 -0.291423 -1.667433 -0.004490 0.280945 -0.058055 0.957956
345.916685 7.793410 -0.103172 -1.004161 -0.006534 0.375288 -0.083776 0.923092
346.916685 8.358118 0.112391 -0.212972 -0.008089 0.400015 -0.090494 0.911994
347.916685 9.319078 0.189013 0.012783 -0.011161 0.661674 -0.159831 0.732473
348.916685 10.259021 0.061262 -0.198981 -0.016695 0.921866 -0.227532 0.313232
349.916685 10.378430 -0.203450 -1.145397 -0.018400 0.959201 -0.244746 -0.140338
350.950018 10.400531 -0.438800 -2.131501 -0.016998 0.936065 -0.233168 0.262919
351.950018 11.257366 -0.537488 -2.519517 -0.014326 0.664450 -0.153883 0.731177
352.950018 12.053188 -0.383817 -1.981542 -0.009587 0.301145 -0.057292 0.951808
353.950018 12.639268 -0.156210 -1.194536 -0.009207 0.288835 -0.054603 0.955776
354.950019 13.133704 0.082244 -0.349397 -0.008942 0.250246 -0.044741 0.967107
355.950019 13.321562 0.212514 0.117898 -0.007092 0.150004 -0.018708 0.988483
357.950019 13.596997 0.428037 0.901679 -0.010654 0.327531 -0.065154 0.942531
358.966685 14.219708 0.647915 1.666075 -0.008910 0.209938 -0.035076 0.977045
360.000019 14.561298 0.909127 2.604526 -0.008047 0.158206 -0.021768 0.987133
361.000019 14.874890 1.161543 3.526552 -0.008340 0.157475 -0.021898 0.987245
362.016686 15.191070 1.417545 4.459966 -0.008545 0.156878 -0.021909 0.987338
363.033352 15.503401 1.674518 5.396880 -0.008581 0.156482 -0.021903 0.987401
364.050019 15.820932 1.930366 6.327943 -0.009192 0.175042 -0.026930 0.984150
365.050019 16.230883 2.177819 7.210188 -0.009715 0.205499 -0.034927 0.977986
366.050019 16.636488 2.424404 8.091023 -0.009798 0.204928 -0.034682 0.978113
367.066686 17.046274 2.676451 8.988561 -0.009776 0.204400 -0.034612 0.978226
368.066686 17.453098 2.925603 9.872858 -0.009740 0.203695 -0.034625 0.978373
369.066686 17.853798 3.174729 10.758917 -0.009728 0.203340 -0.034506 0.978452
370.066686 18.254829 3.422774 11.641387 -0.009795 0.202798 -0.034411 0.978567
371.066686 18.652132 3.669264 12.528003 -0.009943 0.202545 -0.034482 0.978615
372.066686 19.062029 3.911187 13.410190 -0.010287 0.201352 -0.034322 0.978863
373.083353 19.454681 4.206214 14.308498 -0.007671 0.201631 -0.034892 0.978810
374.100020 19.489939 4.407685 15.259850 -0.004072 -0.181029 0.063598 0.981411
375.100020 19.550695 4.661862 16.188660 -0.010314 0.166543 -0.025897 0.985640
376.116686 19.875042 4.869257 17.106340 -0.015466 0.166566 -0.024982 0.985592
377.116686 19.941002 5.197521 18.061522 -0.001817 -0.153475 0.055942 0.986566
378.150020 19.142675 5.352073 18.673069 0.007268 -0.545133 0.149514 0.824878
379.166686 18.173931 5.418452 19.033436 0.006337 -0.546051 0.149552 0.824271
380.183353 17.230108 5.495834 19.444462 0.004108 -0.426583 0.119893 0.896457
381.183353 16.413046 5.615386 19.987106 0.007124 -0.608259 0.164121 0.776553
382.200020 15.387142 5.624425 20.124130 0.006627 -0.633859 0.169830 0.754544
383.216687 14.368180 5.637432 20.269938 0.006253 -0.634694 0.169833 0.753844
384.233353 13.357456 5.647252 20.411722 0.006101 -0.635537 0.169211 0.753275
385.250020 12.389645 5.702805 20.718161 0.004464 -0.530512 0.143074 0.835504
386.250020 11.460494 5.782011 21.110905 0.004087 -0.531435 0.142670 0.834988
387.266687 10.518699 5.863898 21.509146 0.003690 -0.532441 0.142286 0.834415
388.266687 9.591512 5.945999 21.896923 0.003587 -0.533004 0.142299 0.834053
389.300020 8.633527 6.028699 22.293015 0.003428 -0.533573 0.142127 0.833719
